"gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"NOP14-AS1","NOP14 antisense RNA 1 [Source:HGNC Symbol;Acc:20205]",-0.01847445,0.841011738,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000249673","No"
"SSPO","SCO-spondin [Source:HGNC Symbol;Acc:21998]",0.675767541,0.123210936,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000197558","No"
"PER2","period circadian clock 2 [Source:HGNC Symbol;Acc:8846]",0.093274722,0.607749448,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000132326","No"
"NIT1","nitrilase 1 [Source:HGNC Symbol;Acc:7828]",-0.093218966,0.248440337,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000158793","No"
"MRPS9","mitochondrial ribosomal protein S9 [Source:HGNC Symbol;Acc:14501]",0.005900536,0.959016702,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000135972","No"
"PAN3","PAN3 poly(A) specific ribonuclease subunit homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:29991]",0.01627789,0.841181582,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000152520","No"
"P4HB","prolyl 4-hydroxylase, beta polypeptide [Source:HGNC Symbol;Acc:8548]",-0.097686797,0.375241239,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000185624","No"
"NPM1","nucleophosmin (nucleolar phosphoprotein B23, numatrin) [Source:HGNC Symbol;Acc:7910]",-0.076275,0.364927259,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000181163","No"
"RBM39","RNA binding motif protein 39 [Source:HGNC Symbol;Acc:15923]",-0.028200815,0.727793842,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000131051","No"
"RPRD2","regulation of nuclear pre-mRNA domain containing 2 [Source:HGNC Symbol;Acc:29039]",0.078851164,0.539655642,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000163125","No"
"ANKRD54","ankyrin repeat domain 54 [Source:HGNC Symbol;Acc:25185]",-0.07068935,0.445344325,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000100124","No"
"PSMC1","proteasome (prosome, macropain) 26S subunit, ATPase, 1 [Source:HGNC Symbol;Acc:9547]",0.019323012,0.788942143,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000100764","No"
"RALGDS","ral guanine nucleotide dissociation stimulator [Source:HGNC Symbol;Acc:9842]",-0.18177767,0.019394064,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000160271","No"
"FOSL2","FOS-like antigen 2 [Source:HGNC Symbol;Acc:3798]",-0.030909318,0.896186465,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000075426","No"
"STARD3NL","STARD3 N-terminal like [Source:HGNC Symbol;Acc:19169]",-0.046521733,0.517156579,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000010270","No"
"CTD-2320G14.2","",0.504440784,0.356828472,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000253596","No"
"RP11-296I10.6","",-0.078222576,0.687710812,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000261556","No"
"SCN1A","sodium channel, voltage-gated, type I, alpha subunit [Source:HGNC Symbol;Acc:10585]",0.19367337,0.507763297,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000144285","No"
"ZKSCAN8","zinc finger with KRAB and SCAN domains 8 [Source:HGNC Symbol;Acc:12983]",0.10610115,0.542644438,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000198315","No"
"ABCC4","ATP-binding cassette, sub-family C (CFTR/MRP), member 4 [Source:HGNC Symbol;Acc:55]",0.21499785,0.430065789,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000125257","No"
"EIF3EP1","eukaryotic translation initiation factor 3, subunit E pseudogene 1 [Source:HGNC Symbol;Acc:6102]",-0.380038769,0.057861315,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000234882","No"
"TTF1","transcription termination factor, RNA polymerase I [Source:HGNC Symbol;Acc:12397]",-0.016398661,0.83321754,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000125482","No"
"FBXW5","F-box and WD repeat domain containing 5 [Source:HGNC Symbol;Acc:13613]",-0.132041581,0.30500284,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000159069","No"
"TRO","trophinin [Source:HGNC Symbol;Acc:12326]",-0.084240977,0.227985272,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000067445","No"
"AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:HGNC Symbol;Acc:14235]",-0.095803809,0.182383441,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000149313","No"
"ACP2","acid phosphatase 2, lysosomal [Source:HGNC Symbol;Acc:123]",-0.174717863,0.165609477,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000134575","No"
NA,NA,-0.200268327,0.409942339,"cortical_organoid_3_month","Urresti et al. 2021","ENSGR0000178605","No"
"DAB1","Dab, reelin signal transducer, homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:2661]",-0.019686276,0.924579118,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000173406","No"
"RQCD1","RCD1 required for cell differentiation1 homolog (S. pombe) [Source:HGNC Symbol;Acc:10445]",-0.004349044,0.942565282,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000144580","No"
"RN7SL4P","RNA, 7SL, cytoplasmic 4, pseudogene [Source:HGNC Symbol;Acc:10039]",0.066877193,0.774595111,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000263740","No"
"NSUN5P1","NOP2/Sun domain family, member 5 pseudogene 1 [Source:HGNC Symbol;Acc:19146]",-0.041997508,0.835287395,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000223705","No"
"AKIRIN2","akirin 2 [Source:HGNC Symbol;Acc:21407]",0.112064198,0.234893637,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000135334","No"
"SLC8B1","solute carrier family 8 (sodium/lithium/calcium exchanger), member B1 [Source:HGNC Symbol;Acc:26175]",0.046974355,0.796580424,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000089060","No"
"ZNF771","zinc finger protein 771 [Source:HGNC Symbol;Acc:29653]",0.008545662,0.967396645,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000179965","No"
"CNBP","CCHC-type zinc finger, nucleic acid binding protein [Source:HGNC Symbol;Acc:13164]",0.028084119,0.7000847,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000169714","No"
"GLT8D1","glycosyltransferase 8 domain containing 1 [Source:HGNC Symbol;Acc:24870]",0.001722644,0.983105553,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000016864","No"
"AP2S1","adaptor-related protein complex 2, sigma 1 subunit [Source:HGNC Symbol;Acc:565]",-0.024623971,0.844326559,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000042753","No"
"NPHP1","nephronophthisis 1 (juvenile) [Source:HGNC Symbol;Acc:7905]",0.187206912,0.275712365,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000144061","No"
"CIB2","calcium and integrin binding family member 2 [Source:HGNC Symbol;Acc:24579]",-0.138724271,0.332835819,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000136425","No"
"SRPR","signal recognition particle receptor (docking protein) [Source:HGNC Symbol;Acc:11307]",0.102925791,0.586197793,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000182934","No"
"NFX1","nuclear transcription factor, X-box binding 1 [Source:HGNC Symbol;Acc:7803]",0.000481095,0.995667366,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000086102","No"
"WDTC1","WD and tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:29175]",0.020908533,0.772068063,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000142784","No"
"NRG1","neuregulin 1 [Source:HGNC Symbol;Acc:7997]",-0.094804823,0.639735663,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000157168","No"
"CAMKMT","calmodulin-lysine N-methyltransferase [Source:HGNC Symbol;Acc:26276]",-0.004727724,0.978686556,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000143919","No"
"LYSMD2","LysM, putative peptidoglycan-binding, domain containing 2 [Source:HGNC Symbol;Acc:28571]",-0.028572922,0.871406508,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000140280","No"
"IST1","increased sodium tolerance 1 homolog (yeast) [Source:HGNC Symbol;Acc:28977]",-0.002740198,0.964772743,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000182149","No"
"ASAP3","ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:14987]",-0.067791419,0.576833917,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000088280","No"
"AC016747.3","",0.17438734,0.351931376,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000212978","No"
"CDK11B","cyclin-dependent kinase 11B [Source:HGNC Symbol;Acc:1729]",-0.050804569,0.658393044,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000248333","No"
"NACC2","NACC family member 2, BEN and BTB (POZ) domain containing [Source:HGNC Symbol;Acc:23846]",-0.169515295,0.449369969,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000148411","No"
"PRKACB","protein kinase, cAMP-dependent, catalytic, beta [Source:HGNC Symbol;Acc:9381]",0.030426223,0.710281263,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000142875","No"
"GNL3L","guanine nucleotide binding protein-like 3 (nucleolar)-like [Source:HGNC Symbol;Acc:25553]",-0.095887095,0.402904582,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000130119","No"
"HDGFRP3","Hepatoma-derived growth factor-related protein 3  [Source:UniProtKB/Swiss-Prot;Acc:Q9Y3E1]",-0.039276665,0.714805101,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000166503","No"
"ITGA5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide) [Source:HGNC Symbol;Acc:6141]",0.164780798,0.443017212,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000161638","No"
"NLGN4Y","neuroligin 4, Y-linked [Source:HGNC Symbol;Acc:15529]",0.028136105,0.823774055,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000165246","No"
"MSH5","mutS homolog 5 [Source:HGNC Symbol;Acc:7328]",-0.059553455,0.821924455,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000204410","No"
"ZNF197","zinc finger protein 197 [Source:HGNC Symbol;Acc:12988]",-0.0067869,0.935448102,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000186448","No"
"MTA1","metastasis associated 1 [Source:HGNC Symbol;Acc:7410]",-0.038753401,0.603540776,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000182979","No"
"TBC1D22A","TBC1 domain family, member 22A [Source:HGNC Symbol;Acc:1309]",-0.014624319,0.896847925,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000054611","No"
"LARP1","La ribonucleoprotein domain family, member 1 [Source:HGNC Symbol;Acc:29531]",0.037419685,0.665314933,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000155506","No"
"TNRC6A","trinucleotide repeat containing 6A [Source:HGNC Symbol;Acc:11969]",0.070950033,0.450149202,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000090905","No"
"PHF1","PHD finger protein 1 [Source:HGNC Symbol;Acc:8919]",0.006508674,0.95468058,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000112511","No"
"DPM2","dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit [Source:HGNC Symbol;Acc:3006]",-0.087452473,0.285322318,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000136908","No"
"CLIC6","chloride intracellular channel 6 [Source:HGNC Symbol;Acc:2065]",-0.054714913,0.932161517,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000159212","No"
"SLC26A6","solute carrier family 26 (anion exchanger), member 6 [Source:HGNC Symbol;Acc:14472]",-0.051232115,0.796583815,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000225697","No"
"EARS2","glutamyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:29419]",-0.000746527,0.992272004,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000103356","No"
"SSB","Sjogren syndrome antigen B (autoantigen La) [Source:HGNC Symbol;Acc:11316]",-0.007084194,0.91753197,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000138385","No"
"RXRB","retinoid X receptor, beta [Source:HGNC Symbol;Acc:10478]",-0.122264946,0.277366907,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000204231","No"
"EPAS1","endothelial PAS domain protein 1 [Source:HGNC Symbol;Acc:3374]",0.017464692,0.969420991,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000116016","No"
"TMEM132E","transmembrane protein 132E [Source:HGNC Symbol;Acc:26991]",-0.012128201,0.968048536,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000181291","No"
"KIAA2026","KIAA2026 [Source:HGNC Symbol;Acc:23378]",0.015652264,0.8652051,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000183354","No"
"NR3C2","nuclear receptor subfamily 3, group C, member 2 [Source:HGNC Symbol;Acc:7979]",-0.021081649,0.905272468,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000151623","No"
"RSL1D1","ribosomal L1 domain containing 1 [Source:HGNC Symbol;Acc:24534]",0.022372043,0.760408528,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000171490","No"
"VTI1A","vesicle transport through interaction with t-SNAREs 1A [Source:HGNC Symbol;Acc:17792]",-0.030255177,0.663635149,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000151532","No"
"ATXN1L","ataxin 1-like [Source:HGNC Symbol;Acc:33279]",0.051689657,0.584638283,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000224470","No"
"RHBDD3","rhomboid domain containing 3 [Source:HGNC Symbol;Acc:1308]",0.001566399,0.990755956,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000100263","No"
"TCEB1","transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C) [Source:HGNC Symbol;Acc:11617]",0.060943685,0.425170425,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000154582","No"
"NFATC1","nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1 [Source:HGNC Symbol;Acc:7775]",0.360628038,0.254127725,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000131196","No"
"NEK2","NIMA-related kinase 2 [Source:HGNC Symbol;Acc:7745]",-0.098868182,0.744688669,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000117650","No"
"AC002456.2","",-0.276731601,0.531638021,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000223969","No"
"CKS2","CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:2000]",0.073257024,0.630435791,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000123975","No"
"HIVEP2","human immunodeficiency virus type I enhancer binding protein 2 [Source:HGNC Symbol;Acc:4921]",0.047742345,0.633409977,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000010818","No"
"HIST1H4C","histone cluster 1, H4c [Source:HGNC Symbol;Acc:4787]",-0.078004095,0.694439479,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000197061","No"
"CD59","CD59 molecule, complement regulatory protein [Source:HGNC Symbol;Acc:1689]",-0.017716931,0.91101968,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000085063","No"
"ISCU","iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:29882]",0.042549355,0.534698278,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000136003","No"
"TYMS","thymidylate synthetase [Source:HGNC Symbol;Acc:12441]",-0.128623619,0.506087117,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000176890","No"
"PYCRL","pyrroline-5-carboxylate reductase-like [Source:HGNC Symbol;Acc:25846]",-0.110051701,0.467814319,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000104524","No"
"ATP6V1G2-DDX39B","ATP6V1G2-DDX39B readthrough (NMD candidate) [Source:HGNC Symbol;Acc:41999]",-0.441261552,0.321524194,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000254870","No"
"THBS4","thrombospondin 4 [Source:HGNC Symbol;Acc:11788]",-0.015656463,0.951575911,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000113296","No"
"FBXO17","F-box protein 17 [Source:HGNC Symbol;Acc:18754]",-0.012469413,0.974357392,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000269190","No"
"ZMAT2","zinc finger, matrin-type 2 [Source:HGNC Symbol;Acc:26433]",-0.015917829,0.841143091,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000146007","No"
"ZNF788","zinc finger family member 788 [Source:HGNC Symbol;Acc:33112]",0.13554761,0.575691676,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000214189","No"
"DLK1","delta-like 1 homolog (Drosophila) [Source:HGNC Symbol;Acc:2907]",-0.713811919,0.294162723,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000185559","No"
"KCNAB1","potassium voltage-gated channel, shaker-related subfamily, beta member 1 [Source:HGNC Symbol;Acc:6228]",0.042166824,0.924466154,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000169282","No"
"RP11-312O7.2","",-0.020777686,0.938740456,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000229874","No"
"RASGRF2","Ras protein-specific guanine nucleotide-releasing factor 2 [Source:HGNC Symbol;Acc:9876]",0.155548631,0.521386087,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000113319","No"
"RPS7P1","ribosomal protein S7 pseudogene 1 [Source:HGNC Symbol;Acc:17081]",-0.269139754,0.169208816,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000183405","No"
"PFN1","profilin 1 [Source:HGNC Symbol;Acc:8881]",0.009282119,0.911944946,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000108518","No"
"RBM28","RNA binding motif protein 28 [Source:HGNC Symbol;Acc:21863]",0.064446757,0.584219687,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000106344","No"
"MOB4","MOB family member 4, phocein [Source:HGNC Symbol;Acc:17261]",0.00877545,0.898967228,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000115540","No"
"RNF217","ring finger protein 217 [Source:HGNC Symbol;Acc:21487]",0.12757304,0.430945529,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000146373","No"
"SHROOM2","shroom family member 2 [Source:HGNC Symbol;Acc:630]",-0.109540095,0.315677061,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000146950","No"
"SNORD118","small nucleolar RNA, C/D box 118 [Source:HGNC Symbol;Acc:32952]",0.586666291,0.518259564,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000200463","No"
"ANKIB1","ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:22215]",-0.011945765,0.899525183,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000001629","No"
"TMEM259","transmembrane protein 259 [Source:HGNC Symbol;Acc:17039]",0.017286877,0.875046673,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000182087","No"
"MAP2K7","mitogen-activated protein kinase kinase 7 [Source:HGNC Symbol;Acc:6847]",-0.005874489,0.960507898,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000076984","No"
"PPP3CC","protein phosphatase 3, catalytic subunit, gamma isozyme [Source:HGNC Symbol;Acc:9316]",-0.035992042,0.733591887,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000120910","No"
"GULP1","GULP, engulfment adaptor PTB domain containing 1 [Source:HGNC Symbol;Acc:18649]",0.106098192,0.366845552,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000144366","No"
"SAE1","SUMO1 activating enzyme subunit 1 [Source:HGNC Symbol;Acc:30660]",-0.078651635,0.350806698,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000142230","No"
"HIST1H2BJ","histone cluster 1, H2bj [Source:HGNC Symbol;Acc:4761]",-0.15267565,0.472392772,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000124635","No"
"EPN1","epsin 1 [Source:HGNC Symbol;Acc:21604]",-0.003276767,0.979681065,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000063245","No"
"DNAH11","dynein, axonemal, heavy chain 11 [Source:HGNC Symbol;Acc:2942]",0.410594999,0.269994189,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000105877","No"
"ZNF219","zinc finger protein 219 [Source:HGNC Symbol;Acc:13011]",-0.0916817,0.607349227,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000165804","No"
"REL","v-rel avian reticuloendotheliosis viral oncogene homolog [Source:HGNC Symbol;Acc:9954]",0.084129898,0.519579642,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000162924","No"
"ZC3H7A","zinc finger CCCH-type containing 7A [Source:HGNC Symbol;Acc:30959]",-0.035554813,0.672139416,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000122299","No"
"PHACTR3","phosphatase and actin regulator 3 [Source:HGNC Symbol;Acc:15833]",-0.185079395,0.531658956,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000087495","No"
"DUS3L","dihydrouridine synthase 3-like (S. cerevisiae) [Source:HGNC Symbol;Acc:26920]",-0.263347091,0.13137525,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000141994","No"
"ATG10","autophagy related 10 [Source:HGNC Symbol;Acc:20315]",-0.069722005,0.695738374,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000152348","No"
"ANKRD49","ankyrin repeat domain 49 [Source:HGNC Symbol;Acc:25970]",0.031912795,0.751259004,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000168876","No"
"RP4-758J18.2","HCG20425, isoform CRA_a; Uncharacterized protein; cDNA FLJ53815  [Source:UniProtKB/TrEMBL;Acc:B4DNA4]",-0.160002507,0.145216118,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000224870","No"
"KCNJ4","potassium inwardly-rectifying channel, subfamily J, member 4 [Source:HGNC Symbol;Acc:6265]",0.328036019,0.168483718,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000168135","No"
"SRSF9","serine/arginine-rich splicing factor 9 [Source:HGNC Symbol;Acc:10791]",-0.033425435,0.586056804,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000111786","No"
"KNTC1","kinetochore associated 1 [Source:HGNC Symbol;Acc:17255]",-0.022601347,0.851519439,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000184445","No"
"FBXO32","F-box protein 32 [Source:HGNC Symbol;Acc:16731]",-0.102045882,0.668248719,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000156804","No"
"FOXJ2","forkhead box J2 [Source:HGNC Symbol;Acc:24818]",0.146437463,0.23436557,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000065970","No"
"CBWD6","COBW domain containing 6 [Source:HGNC Symbol;Acc:31978]",-0.032887427,0.812038374,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000204790","No"
"GMDS","GDP-mannose 4,6-dehydratase [Source:HGNC Symbol;Acc:4369]",0.076050218,0.700870701,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000112699","No"
"SLC2A13","solute carrier family 2 (facilitated glucose transporter), member 13 [Source:HGNC Symbol;Acc:15956]",-0.109437551,0.351291871,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000151229","No"
"RP11-565P22.6","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:H7C2G1]",0.25279671,0.491813039,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000254706","No"
"RPA3-AS1","RPA3 antisense RNA 1 [Source:HGNC Symbol;Acc:48955]",-0.088499675,0.4363193,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000219545","No"
"RP11-163E9.2","",0.000193938,0.999243124,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000239969","No"
"FANK1","fibronectin type III and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:23527]",0.272394311,0.127004553,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000203780","No"
"SREBF2","sterol regulatory element binding transcription factor 2 [Source:HGNC Symbol;Acc:11290]",0.152776663,0.460847202,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000198911","No"
"CTD-2323K18.1","",0.0558309,0.913996854,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000260269","No"
"SNX15","sorting nexin 15 [Source:HGNC Symbol;Acc:14978]",-0.167393857,0.248025319,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000110025","No"
"TMEM160","transmembrane protein 160 [Source:HGNC Symbol;Acc:26042]",0.042589872,0.899818073,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000130748","No"
"SRSF8","Homo sapiens serine/arginine-rich splicing factor 8 (SRSF8), transcript variant 1, mRNA. [Source:RefSeq mRNA;Acc:NM_032102]",-0.451845485,0.50841917,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000271885","No"
"STARD7","StAR-related lipid transfer (START) domain containing 7 [Source:HGNC Symbol;Acc:18063]",-0.012971543,0.845096487,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000084090","No"
"ZBTB4","zinc finger and BTB domain containing 4 [Source:HGNC Symbol;Acc:23847]",0.003900255,0.975477914,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000174282","No"
"COX18","COX18 cytochrome C oxidase assembly factor [Source:HGNC Symbol;Acc:26801]",0.049309104,0.631152556,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000163626","No"
"KDM1A","lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:29079]",-0.092136546,0.179070223,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000004487","No"
"PPP1R11","protein phosphatase 1, regulatory (inhibitor) subunit 11 [Source:HGNC Symbol;Acc:9285]",-0.166927146,0.188293966,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000204619","No"
"AK4","adenylate kinase 4 [Source:HGNC Symbol;Acc:363]",0.153187365,0.421368979,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000162433","No"
"KIAA0408","KIAA0408 [Source:HGNC Symbol;Acc:21636]",0.060297232,0.58959318,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000189367","No"
"AAMP","angio-associated, migratory cell protein [Source:HGNC Symbol;Acc:18]",-0.0772349,0.150023173,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000127837","No"
"SOX9-AS1","SOX9 antisense RNA 1 [Source:HGNC Symbol;Acc:49321]",0.344422278,0.198584104,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000234899","No"
"LRRC29","leucine rich repeat containing 29 [Source:HGNC Symbol;Acc:13605]",-0.092190585,0.64725322,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000125122","No"
"LRP5","low density lipoprotein receptor-related protein 5 [Source:HGNC Symbol;Acc:6697]",-0.135709939,0.205448133,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000162337","No"
"MED12L","mediator complex subunit 12-like [Source:HGNC Symbol;Acc:16050]",0.004886971,0.973382212,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000144893","No"
"ZNF282","zinc finger protein 282 [Source:HGNC Symbol;Acc:13076]",-0.079382416,0.388039797,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000170265","No"
"TMEM205","transmembrane protein 205 [Source:HGNC Symbol;Acc:29631]",-0.065253872,0.509920407,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000105518","No"
